Record Length,2500,Points,response time,response voltage,,Record Length,2500,Points,signal time,signal voltage,
,,,-11.7999980E-6,-1.6000000E-3,,,,,-11.7999980E-6,199.99998808E-3,
,,,-11.6999981E-6,-1.6000000E-3,,,,,-11.6999981E-6,199.99998808E-3,
,,,-11.5999983E-6,-1.6000000E-3,,,,,-11.5999983E-6,159.99999642E-3,
,,,-11.4999984E-6,-1.6000000E-3,,,,,-11.4999984E-6,199.99998808E-3,
,,,-11.3999977E-6,-1.6000000E-3,,,,,-11.3999977E-6,199.99998808E-3,
,,,-11.2999978E-6,-1.6000000E-3,,,,,-11.2999978E-6,199.99998808E-3,
,,,-11.1999980E-6,-1.6000000E-3,,,,,-11.1999980E-6,199.99998808E-3,
,,,-11.0999981E-6,-1.6000000E-3,,,,,-11.0999981E-6,159.99999642E-3,
,,,-10.9999983E-6,-1.6000000E-3,,,,,-10.9999983E-6,199.99998808E-3,
,,,-10.8999984E-6,-1.6000000E-3,,,,,-10.8999984E-6,199.99998808E-3,
,,,-10.7999977E-6,-1.6000000E-3,,,,,-10.7999977E-6,159.99999642E-3,
,,,-10.6999978E-6,-1.6000000E-3,,,,,-10.6999978E-6,199.99998808E-3,
,,,-10.5999979E-6,-1.6000000E-3,,,,,-10.5999979E-6,199.99998808E-3,
,,,-10.4999981E-6,-1.6000000E-3,,,,,-10.4999981E-6,199.99998808E-3,
,,,-10.3999982E-6,-1.6000000E-3,,,,,-10.3999982E-6,199.99998808E-3,
,,,-10.2999984E-6,-1.6000000E-3,,,,,-10.2999984E-6,199.99998808E-3,
,,,-10.1999976E-6,-1.6000000E-3,,,,,-10.1999976E-6,159.99999642E-3,
,,,-10.0999978E-6,-1.6000000E-3,,,,,-10.0999978E-6,199.99998808E-3,
,,,-9.999997928E-6,-1.6000000E-3,,,,,-9.999997928E-6,199.99998808E-3,
,,,-9.899998076E-6,-1.6000000E-3,,,,,-9.899998076E-6,199.99998808E-3,
,,,-9.799998224E-6,-1.6000000E-3,,,,,-9.799998224E-6,199.99998808E-3,
,,,-9.699998373E-6,-1.6000000E-3,,,,,-9.699998373E-6,199.99998808E-3,
,,,-9.599997611E-6,-799.999979790E-6,,,,,-9.599997611E-6,159.99999642E-3,
,,,-9.499997759E-6,-1.6000000E-3,,,,,-9.499997759E-6,199.99998808E-3,
,,,-9.399997907E-6,-1.6000000E-3,,,,,-9.399997907E-6,199.99998808E-3,
